employer_description,industry
"Work as a team, utilize our systems and procedures for maximum efficiency. Must be able to perform all job functions safely. Must be able to work the scheduled / assigned times and required overtime for the position.","accommodation, hotel, restaurants and food service"
"Bob Evans Restaurants, LLC is EEO compliant and participates in E Verify. Brand: Bob Evans Restaurants Address: 13911 Middlebelt Rd Livonia, MI - 48154 Property Description: 00087 - Livonia Property Number: 00087 Quick Apply How does working in an environment where strangers are treated like friends and friends are treated like family? At Bob Evans, you are in the driver’s seat of your career. Then please take a few minutes to check out some of our employee stories at careers.bobevans.com. Our goal is to provide a safe environment for both our employees and guests. Bob Evans Restaurants, LLC is EEO compliant and participates in E Verify. Maintains a clean and sanitary work station area including tables, shelves, walls, oven, and refrigeration equipment. Callbacks are #1 priority; desserts must be out within 5 minutes. This list is not designed to contain a comprehensive listing of activities and the employer reserves the right to change or assign other duties to this position. While performing the duties of this job the employee will regularly be required to: Stand for entire shift and walk for long periods of time without rest or sitting down. Use hands to finger, handle, or feel objects, tools, or controls. Have ability to freely access all areas of restaurant including selling floor(s), stock area, and register area.","accommodation, hotel, restaurants and food service"
"Avec près de 1500 collaborateurs, Migros Valais est l'un des premiers employeurs privés du canton. Votre contact: Société Coopérative Migros Valais Anouchka Plaschy, conseillère RH La coopérative Migros Valais fait partie du groupe Migros. Avec près de 1500 collaborateurs, Migros Valais est l'un des premiers employeurs privés du canton. Nous recherchons de suite un Taux d'occupation: 20 % Service: Supermarché Site: Fully Votre mission Accueillir, conseiller et fidéliser la clientèle selon les exigences du PAPS Présentation des produits et contrôle de la qualité Approvisionnement et suivi des rayons Polyvalence sur l'ensemble du magasin Votre profil Etudiant Expérience dans le domaine de la vente un atout Votre personnalité Goût prononcé pour l'accueil et le service à la clientèle Flexibilité et autonomie Polyvalent et esprit de collaboration Soucieux de la qualité, précis et intègre Fiable et rigoureux Nous offrons Nous vous offrons un poste stable dans une entreprise dynamique, avec des possibilités d'évolution, formation continue et des outils modernes de travail.",wholesale and retail stores
"Automobilfachmann/-frau 80-100% Automobilfachmann/-frau 80-100% Dietikon Für unser Garagen-Team mit Sitz in Dietikon suchen wir Verstärkung. Ferien Je nach Alter zwischen 22 und 30 Tage Ferien pro Jahr; zuzüglich ca. 2.5 Tage aus der geleisteten Vorholzeit. Reka-Geld und Mobile-Abos Bezug von Reka-Geld im Wert von CHF 1'000 für CHF 600 (40% Rabatt). Die Väter erhalten einen bezahlten Vaterschaftsurlaub von 10 Tagen. Beratungen Externe Beratungen / Dienstleistungen bei Anliegen von Mitarbeitenden im Spannungsfeld von Beruf, Familie und Privatleben. Mitarbeiterrestaurants Mitarbeiterestaurants an den Standorten Zürich und Dietikon Homeoffice Homeoffice bei dafür geeigneten Funktionen grundsätzlich möglich. Was wir bieten Statt 41 werden 42 Stunden pro Woche gearbeitet. Je nach Alter zwischen 22 und 30 Tage Ferien pro Jahr; zuzüglich ca. 2.5 Tage aus der geleisteten Vorholzeit. Bezug von Reka-Geld im Wert von CHF 1'000 für CHF 600 (40% Rabatt). Private Abteilung bei einem Spitalaufenthalt infolge Unfall. Die Väter erhalten einen bezahlten Vaterschaftsurlaub von 10 Tagen. Externe Beratungen / Dienstleistungen bei Anliegen von Mitarbeitenden im Spannungsfeld von Beruf, Familie und Privatleben. Mitarbeiterestaurants an den Standorten Zürich und Dietikon Homeoffice bei dafür geeigneten Funktionen grundsätzlich möglich. EKZ plant, baut und unterhält ein rund 15'000 Kilometer langes und mit 99.998 Prozent überdurchschnittlich verfügbares Stromnetz. Zu den Kunden von EKZ zählen Private, Unternehmen und andere Schweizer Energieversorger. Als einer der grössten Ausbildner im Kanton Zürich bildet EKZ rund 140 Fachkräfte in neun Lehrberufen aus. Arbeitsort Google Maps Platform rejected your request. This IP, site or mobile application is not authorized to use this API key.",public administration and international organizations
"Nummer 1 im Kanton, digital und persnlich - das ist die Glarner Kantonalbank. Nummer 1 im Kanton, digital und persnlich - das ist die Glarner Kantonalbank. In einem strategischen und innovativen Projekt des Vertriebs zur Einfhrung einer neuen Applikation knnen Sie Ihr Fachwissen in die Praxis umsetzen und den Projektleiter bis 30. Wir suchen eine selbststndige, lsungsorientierte und teamfhige Persnlichkeit, die sich mit Begeisterung in unser junges Team einbringen mchte.Ihr Aufgabengebiet: Erstellen von detaillierten und mit den Anspruchsgruppen abgestimmten Spezifikationen (z.B. Datenmodell, Screens, Business Rules etc.)",public administration and international organizations
"The Kitchen Staff prepare mouth-watering cuisine and beverages for our clients and guests. We expect our Associates to provide warm, friendly service with a genuine smile and pleasant attitude. We look for staff who are willing to learn and who seek opportunities to grow.","arts, entertainment and recreation"
"Our work involves the development of high-impact, open source software assets that contribute to the Microsoft platform that are broadly applicable. Are you a cloud engineer who sees the big picture? We work closely with our customers’ engineers to develop code to jointly solve their biggest challenges to accelerate progress in their organization. We sit side-by-side with our customers to collaboratively innovate custom solutions tailored to solve their challenges. Our work involves the development of high-impact, open source software assets that contribute to the Microsoft platform that are broadly applicable. You’ll be the sort of person who enjoys a culture that ensures that all voices and perspectives are heard and considered.",information and communication
"CH - Visp Lonza ist heute ein weltweit führendes Unternehmen im Bereich Life Sciences, welches auf drei Kontinenten tätig ist. Ihre Aufgaben: Planung, Organisation, Durchführung und Nachbearbeitung von Kundenaudits im Bereich unser Kundenauftragsfertigung von Wirkstoffen Bearbeitung der Auditberichte und in Zusammenarbeit mit unseren Produktionsspezialisten Sicherstellung der termingerechten Beantwortung Korrespondenz mit unseren Kunden bezüglich Auditanfragen, durchgeführten Kundenaudits sowie follow-up Anfragen Pflege der internen Audit Datenbank und Sicherstellung der termingerechten Erledigung von Kundenaudit bezogener CAPAs Unterstützung bei der Vorbereitung, Durchführung und Nachbearbeitung von Behörden-Inspektionen Durchführung interner Audits Ihr Anforderungsprofil: Bevorzugt Ph.D. Abschluss oder auch Masterabschluss in Life Sciences, Ingenieurwissenschaften oder Qualitätsmanagement oder einer verwandten naturwissenschaftlichen Disziplin Mehrjährige Berufserfahrung sowie Verständnis der geltenden cGMP-Vorschriften Deutsch- und sehr gute Englischkenntnisse in Wort und Schrift Grundkenntnisse zu pharmazeutischen Herstellungsprozessen und analytischen Methoden Audit-Erfahrung, Auditor-Zertifizierung von Vorteil Professionelles Auftreten und Einstellung zum Aufbau und zur Pflege exzellenter Arbeitsbeziehungen mit Kunden, internen Stakeholdern und funktionsübergreifenden Teams Lonzas Produkte und Services wirken sich täglich positiv auf Millionen von Menschen aus. Bei Lonza wird Respekt grossgeschrieben und wir schützen sowohl unsere Mitarbeiter als auch unsere Umwelt. Zu Lonza kommen Menschen, die Herausforderungen annehmen und mit ihrer Kreativität im Bereich Life Science neue Ideen für komplexe Problemstellungen entwickeln. CH - Visp Lonza ist heute ein weltweit führendes Unternehmen im Bereich Life Sciences, welches auf drei Kontinenten tätig ist. Wir sind in der Wissenschaft tätig, jedoch gibt es keine Zauberformel dafür, wie wir die Arbeit angehen. Unsere wichtigste wissenschaftliche Lösung sind talentierte Mitarbeitende, die zusammenarbeiten und Ideen entwickeln, die anderen Unternehmen helfen, Menschen zu helfen. Im Gegenzug steuern unsere Mitarbeitenden ihre Karriere selbstständig. Denn ihre Ideen, ob gross und klein, verbessern die Welt. Und das ist die Art von Arbeit, an der wir Teil haben möchten. Als Auftragshersteller im Bereich der Produktion von pharmazeutischen Wirkstoffen suchen wir innerhalb der Abteilung Quality Assurance für den Standort Visp einen QA GMP Audit Manager (m/w/d) zur Betreuung von GMP Audits, die von unsere Kunden am Standort durchgeführt werden. In diese Stelle arbeiten Sie eng mit den Auditoren unsere Kunden zusammen und präsentieren unser Qualitätssystem.",pharmaceutical and life sciences
"Organization :   Grand Hotel des Bains Kempinski St. Moritz Primary Location :   Switzerland-St. Moritz Job Type :   Temporary/Seasonal Job Level :   Staff Schedule :   Full-time Shift :   Day Job Job Posting :   Jul 16, 2021 Unposting Date :   Ongoing Job Number: :   210000VI Beauty Therapist (m/w/d)     Tradition & modern hospitality. We are looking for you to join our flexible Spa Team as a dynamic and motivated Beauty Therapist from the winter season onwards! Together with the entire Spa team, you ensure a pleasant stay for our guests in our hotel Spa. Dedicated to please, educated to entertain and never compromising on the European elegance of service, we are driven by our passion for crafting distinct and meaningful experiences. Each of our remarkable properties is a stage upon which our people perform their best and every day is an opportunity to apply their unique talents. Connected by our shared values, our passion for craftsmanship, and our care for one another, we are a global community of hoteliers.","accommodation, hotel, restaurants and food service"
"Ergänzt wird das Verantwortungsgebiet mit dem Event-Bereich von CH Media Entertainment Betriebswirtschaftliches Gewissen und Sparringpartner für die zu betreuenden Bereiche Durchführung strategischer und operativer Planung inklusive Erstellung Forecast Sicherstellung Monats- und Jahresabschluss und Schnittstelle zu Finanzbuchhaltung und Konzern Controlling Bereitstellung monatliches Reporting inklusive Analyse und Ad-hoc-Auswertungen der Ergebnisse Entwicklung und Bewertung von Businessplänen und Wirtschaftlichkeitsrechnungen Mitarbeit bei der Weiterentenwicklung von Finanzen und Controlling Ihr Profil Qualifizierte betriebswirtschaftliche Ausbildung / Weiterbildung (z.B. | Ihre Aufgaben Verantwortlich für das Controlling des Geschäftsfelds Radio mit der grössten regionalen Sendergruppe der Schweiz mit Radio 24, Radio Argovia, Radio FM1, Radio Pilatus, Radio 32 und Radio Bern 1 sowie den nationalen Sendern von Virgin Radio, Virgin Radio Rock und Radio Melody. Ergänzt wird das Verantwortungsgebiet mit dem Event-Bereich von CH Media Entertainment Betriebswirtschaftliches Gewissen und Sparringpartner für die zu betreuenden Bereiche Durchführung strategischer und operativer Planung inklusive Erstellung Forecast Sicherstellung Monats- und Jahresabschluss und Schnittstelle zu Finanzbuchhaltung und Konzern Controlling Bereitstellung monatliches Reporting inklusive Analyse und Ad-hoc-Auswertungen der Ergebnisse Entwicklung und Bewertung von Businessplänen und Wirtschaftlichkeitsrechnungen Mitarbeit bei der Weiterentenwicklung von Finanzen und Controlling Ihr Profil Qualifizierte betriebswirtschaftliche Ausbildung / Weiterbildung (z.B.","newspapers, television and media industry"
"| Credit Suisse is a leading global wealth manager with strong investment banking capabilities. Embodying entrepreneurial spirit, Credit Suisse delivers holistic financial solutions to our clients, including innovative products and specially tailored advice. We are Credit Suisse. Credit Suisse is an equal opportunity employer. | Credit Suisse is a leading global wealth manager with strong investment banking capabilities. Headquartered in Zurich, Switzerland, we have a global reach with operations in about 50 countries and employ more than 45,000 people from over 150 different nations. Embodying entrepreneurial spirit, Credit Suisse delivers holistic financial solutions to our clients, including innovative products and specially tailored advice. We are Credit Suisse. Given our unique background, age and gender structure the team has a variety of skillsets and a proactive can-do attitude. Our usual office interaction and small talk is done in English. We are a department which values Diversity and Inclusion (D&I) and is committed to realizing the firm's D&I ambition which is an integral part of our global cultural values. You are approaching things with a can-do attitude, act as team player and are a good communicator. Credit Suisse is an equal opportunity employer.",financial and insurance
Die Psychiatrische Universitätsklinik Zürich stellt die psychiatrische und psychotherapeutische Versorgung der Einwohnerinnen und Einwohner in der Stadt und im Grossraum Zürich sicher. Psychiatrische Universitätsklinik Zürich Frau Melanie Holliger HR Beraterin Lenggstrasse 31 8032 Zürich Als Universitätsklinik ist sie zudem in der Lehre und Forschung engagiert und international sehr gut vernetzt. Auf drei Jugendlichenstationen in der Klinik für Kinder- und Jugendpsychiatrie und Psychotherapie (KJPP) werden Jugendliche im Alter von 14 bis 17 Jahren mit schweren psychischen Störungen in einem interdisziplinären Team psychiatrisch-psychotherapeutisch und im milieutherapeutischen Rahmen behandelt und betreut. Für die Jugendlichenstation A0 am Standort Lenggstrasse Zürichsuchen wir per 1. Pflegefachperson HF/FH oder dipl.,research and academia
"Our role is to design, engineer, deploy and maintain global solutions for securing encryption keys within UBS. About us   UBS is the world’s largest and only truly global wealth manager. Learn more about how we hire: www.ubs.com/global/en/careers/experienced-professionals.html     Join us   At UBS, we embrace flexible ways of working when the role permits. Ready to be part of #teamUBS and make an impact? Disclaimer / Policy Statements   UBS is an Equal Opportunity Employer. If answer is “yes”, then you might find this role interesting. We’re looking for a Cyber Security Engineer to:      become part of the Data Protection family and secure most valuable assets,  stay on guard of secure infrastructure as well as production stability and performance,  help in maintaining data encryption in a living environment,  support internal clients in implementing data encryption,  take care of compliance with the highest cryptography standards. Your team   You’ll be working in the Secure Key Management team in Wrocław (Poland), Pune (India) or Herzliya Pituach (Israel). Our role is to design, engineer, deploy and maintain global solutions for securing encryption keys within UBS. About us   UBS is the world’s largest and only truly global wealth manager. We operate through four business divisions: Global Wealth Management, Personal & Corporate Banking, Asset Management and the Investment Bank. Our global reach and the breadth of our expertise set us apart from our competitors. With more than 70,000 employees, we have a presence in all major financial centers in more than 50 countries. Do you want to be one of us? How we hire   This role requires an assessment on application. We offer different working arrangements like part-time, job-sharing and hybrid (office and home) working. We know that it's our people, with their unique backgrounds, skills, experience levels and interests, who drive our ongoing success. Together we’re more than ourselves. Disclaimer / Policy Statements   UBS is an Equal Opportunity Employer.",financial and insurance
"3.3 Full-time4 hours ago Full Job Description We're ALDI, one of America's favorite grocers. Supervises the day-to-day operations and performance of the team to provide the highest level of customer service for the customer Understands the overarching company strategy, as well as communicates and models the core values of the organization, to create a sense of teamwork and membership among employees Handles customer concerns and ensures an appropriate resolution Ensures proper store signage is maintained at all times, as well as the quality and freshness of ALDI products Assists in the hiring of store personnel by reviewing resumes and employment applications, as well as interviewing candidates Prepares, manages, and revises weekly schedules to ensure appropriate store staffing levels Establishes and communicates job responsibilities and performance expectations to direct reports to ensure mutual understanding and desired results Conducts store meetings Identifies training and development opportunities that will assist direct reports in achieving enhanced performance Conducts annual performance evaluations, recommending store personnel for advancement and termination as appropriate Achieves store payroll and total loss budgets Manages cash audits in conjunction with their direct leader according to company guidelines Monitors the competitive environment within the community and makes recommendations to the direct leader regarding adjustments necessary to maintain a competitive position Provides product feedback to their direct leader, including recommendations regarding new items to carry or those that should be discontinued Provides a safe environment for employees, customers, and vendors by identifying and rectifying hazards, ensuring proper ergonomics, and maintaining store equipment in proper working order Oversees product merchandising and maintains proper stock levels through appropriate product ordering Conducts store inventory counts and reconciliations according to company guidelines Complies with all established company policies and procedures while upholding the security and confidentiality of documents and data Other duties as assigned Physical Demands: Ability to stock merchandise from store receiving to shelving; ability to place product, weighing up to 45 pounds, on shelving at various heights Regularly required to sit, stand, bend, reach, push, pull, lift, carry and walk about the store Must be able to perform duties with or without reasonable accommodations. Job Qualifications: Ability to work both independently and within a team environment Ability to provide and lead others to provide prompt and courteous customer service Ability to develop rapport, trust, and open communication that enhances the growth and job performance of direct reports Ability to interpret and apply company policies and procedures Ability to establish goals, guide employee performance to ensure the quality and completion of work assignments Ability to evaluate and drive performance of self and others Ability to understand and apply management principles concerning budgeting, personnel costs, and expenses Ability to operate a cash register efficiently and accurately Ability to safely and properly operate equipment, including electric/manual hand jack, floor scrubber, and cardboard baler and perform general cleaning duties to company standards Excellent verbal and written communication skills Ability to stay organized and multi-task in a professional and efficient manner, following instructions and giving attention to detail Meets any state and local requirements for handling and selling alcoholic beverages Education and Experience: High School Diploma or equivalent preferred A minimum of 3 years of progressive experience in a retail environment A combination of education and experience providing equivalent knowledge Prior management experience preferred Travel: Full-Time Store Manager Trainees will often train at multiple locations and must have flexibility to travel within divisional requirements ALDI offers competitive wages and benefits, including: 401(k) Plan Company 401(k) Matching Contributions Employee Assistance Program (EAP) PerkSpot National Employee Discount Program In addition, eligible employees are offered: Medical, Prescription, Dental & Vision Insurance Generous Vacation Time & 7 Paid Holidays Short and Long-Term Disability Insurance Life, Dependent Life and AD&D Insurance Voluntary Term Life Insurance ALDI is committed to equal opportunity for all employees and applicants. Employment may be contingent upon ALDI's receipt of an acceptable and job-related drug test, motor vehicle report, and/or reference check, as applicable and permissible by law. 3.3 Full-time4 hours ago Full Job Description We're ALDI, one of America's favorite grocers. We've grown a lot in the past few years, expanding our reach and customer base all around the country. Supervises the day-to-day operations and performance of the team to provide the highest level of customer service for the customer Understands the overarching company strategy, as well as communicates and models the core values of the organization, to create a sense of teamwork and membership among employees Handles customer concerns and ensures an appropriate resolution Ensures proper store signage is maintained at all times, as well as the quality and freshness of ALDI products Assists in the hiring of store personnel by reviewing resumes and employment applications, as well as interviewing candidates Prepares, manages, and revises weekly schedules to ensure appropriate store staffing levels Establishes and communicates job responsibilities and performance expectations to direct reports to ensure mutual understanding and desired results Conducts store meetings Identifies training and development opportunities that will assist direct reports in achieving enhanced performance Conducts annual performance evaluations, recommending store personnel for advancement and termination as appropriate Achieves store payroll and total loss budgets Manages cash audits in conjunction with their direct leader according to company guidelines Monitors the competitive environment within the community and makes recommendations to the direct leader regarding adjustments necessary to maintain a competitive position Provides product feedback to their direct leader, including recommendations regarding new items to carry or those that should be discontinued Provides a safe environment for employees, customers, and vendors by identifying and rectifying hazards, ensuring proper ergonomics, and maintaining store equipment in proper working order Oversees product merchandising and maintains proper stock levels through appropriate product ordering Conducts store inventory counts and reconciliations according to company guidelines Complies with all established company policies and procedures while upholding the security and confidentiality of documents and data Other duties as assigned Physical Demands: Ability to stock merchandise from store receiving to shelving; ability to place product, weighing up to 45 pounds, on shelving at various heights Regularly required to sit, stand, bend, reach, push, pull, lift, carry and walk about the store Must be able to perform duties with or without reasonable accommodations.",wholesale and retail stores
"Our therapies are also used in cardiac surgery, organ transplantation and burn treatment.CSL is the parent company of CSL Behring and Seqirus. CSL Behring is a global leader in the protein biotherapeutics industry, focused on bringing to market biotherapies used to treat serious and often rare conditions. CSL Behring operates CSL Plasma , one of the world's largest collectors of human plasma, which is used to create CSL’s therapies. CSL Behring ist ein weltweit führendes Biotech-Unternehmen, das sich seinem Versprechen verpflichtet hat, Leben zu retten. Bitte fügen Sie Ihre Dateien, inklusive CV, zu einem Dokument zusammen.CSL Behring verpflichtet sich dem Prinzip der Chancengleichheit. Our therapies are also used in cardiac surgery, organ transplantation and burn treatment.CSL is the parent company of CSL Behring and Seqirus. CSL Behring is a global leader in the protein biotherapeutics industry, focused on bringing to market biotherapies used to treat serious and often rare conditions. CSL Behring ist ein weltweit führendes Biotech-Unternehmen, das sich seinem Versprechen verpflichtet hat, Leben zu retten. In Bern entwickeln und vertreiben wir mit über 1500 Mitarbeitenden lebensrettende Therapien für Menschen mit schweren und seltenen Krankheiten weltweit. Für unseren Standort Bern, im Team Bulkherstellung IgLAB MV&VI, suchen wir einenTeamleiter (w / m / d) Produktion ProtinusKompetenzen und VerantwortlichkeitenSie sind zuständig für die Leitung eines Teams von 7 Mitarbeitern und kümmern sich um die Sicherstellung der Produktionsaufgaben. Des weiteren prüfen Sie die Arbeitsschritte und stellen sicher, dass die Produktion gemäss GMP Vorgaben eingehalten wird. QualifikationenSie verfügen über eine abgeschlossene Berufsausbildung im Lebensmittel-, Pharma-, oder technischen Bereich und haben Erfahrung im Hygienebereich und GMP-Umfeld. Sie organisieren Ihren Bereich, treffen Entscheidungen innerhalb Ihres Verantwortungsbereichs selbständig, arbeiten lösungsorientiert und sind es gewohnt, auch in hektischen Situationen den Überblick zu behalten. Dann freuen wir uns auf Ihre Online-Bewerbung. Bitte fügen Sie Ihre Dateien, inklusive CV, zu einem Dokument zusammen.CSL Behring verpflichtet sich dem Prinzip der Chancengleichheit. Worker Type : EmployeeWorker Sub Type : RegularFull time",pharmaceutical and life sciences
"Rund 1000 Mitarbeitende, davon 100 in Ausbildung, sind in den verschiedensten Bereichen tätig. Jedes Jahr behandeln und betreuen wir über 10'000 stationäre und über 50'000 ambulante Patientinnen und Patienten. Im interdisziplinären Notfallzentrum werden jährlich mehr als 20'000 Personen behandelt. Für den Aufbau und Betrieb unserer neuen Zentralen Zytostatika-Herstellung suchen wir per 1. Oktober 2021 oder nach Vereinbarung eine motivierte pharmazeutisch-technische Mitarbeiterin (m / w). Ihre Aufgaben Herstellung von patientenindividuellen Zytostatika- und Antikörper-Lösungen im Isolator Übernahme logistischer und administrativer Aufgaben im Bereich der Herstellung und der EDV-gestützten Lagerbewirtschaftung Mikrobiologisches Monitoring und Unterhalt des Reinraums Mitarbeit bei der Erstellung von Qualitätsdokumenten Sukzessive Erweiterung der Dienstleistungen (Therapien für Tagesklinik, Schmerzpumpen etc.) Sie erhalten die Möglichkeit, beim Aufbau unserer Zytostatika-Herstellung aktiv mitzuwirken.",public administration and international organizations
"Description du poste Für jeden Geschmack ein Erlebnis - Mit über 200 Verkaufspunkten sind wir eine der grössten Gastronomieketten der Schweiz. Steckbrief Vertrag unbefristet Fachrichtung Gastronomie / Hotellerie Arbeitsort Chur - Raschärenstrasse 35 Stellenantritt per sofort oder nach Vereinbarung Pensum 8 - 20 Std./Woche Aufgaben Sie empfangen unsere Gäste, bewirtschaften die Selbstbedienungszone und stellen die Warenpräsentation sicher.",wholesale and retail stores
"B. Abschluss als Arztsekretär / in, med. Es erwarten Sie ein gut eingespieltes Team in einem dynamischen Umfeld.",public administration and international organizations
"Staefa, Switzerland         Test Engineer          In a professional and international team of test engineers you contribute with your excellent engineering and verification skills to the success of Sonova’s state-of-the-art hearing device solutions. Sonova AG Laubisrütistrasse 28 CH-8712 Stäfa +41 58 928 01 01 Who we are  In a life without sound, our work provides meaning. As a leading provider of innovative hearing care solutions, we are not just a company that makes products: we are a team on a mission to help people enjoy the delight of hearing. To enable a life without limitations, we – through our core business brands Phonak, Unitron, Hansaton, Advanced Bionics and AudioNova – develop, manufacture and distribute solutions that push the limits of technology and redefine the future of our industry. Your tasks     Analyze, design, document, review and execute test cases, report test execution and maintain the existing test base  Defect handling, investigate, report and re-test defects  Support feature development with investigation and explorative testing  Develop concepts for new solutions required for the manual system verification of hearing devices and their interaction with mobile devices, apps and other accessories  Collaborate closely with test managers, test engineers, developers and application experts of various disciplines in an agile development environment      Your profile     Engineering degree, higher technical school or apprenticeship with diploma in computer sciences or related technical discipline  At least 1+ years of professional work experience in testing, preferably in a regulated industry, ISTQB certificate / CAS in SW testing is a plus  Affinity to hardware, mobile devices and wireless communication  Passion for high quality and precise documentation  Flexible, creative, positive thinking and team-player, ability to work effectively across geographical, cultural and language borders  Profound communication skills in English, German is a plus      Our offer    We can offer you a new challenge, with interesting tasks and much more – including an open corporate culture, flat hierarchies, support for further training and development, opportunities to take on responsibility, an excellent range of foods, sports and cultural facilities, attractive employment conditions, and flexible working time models in various roles. Daryl Alther, Talent Acquisition Manager, is looking forward to receiving your complete application (CV, references and certificates) via our online job application platform. For this vacancy only direct applications will be considered.",manufacturing
"The project portfolio consists of system landscape modernization (move to cloud, implementation of a micro-service based architecture and decommissioning of legacy applications and technologies) and delivering market differentiating own built or purchased applications. We are looking for a Senior Project Leader who will be responsible for structural medium to highly complex IT projects to join our team. corresponding certifications) Project experience in a heterogeneous, legacy system landscape that need to be modernized and transformed Demonstrate high performance, detail orientation and be ready for hands-on work Excellent communication skills and strong experience in presenting Experience and expertise in the energy industry and markets, deployed technologies and font, middle- and back office processes for multiple commodities an advantage Proficiency in English, German preferred, French or Italian a plus",electricity and energy
"At Apple, new ideas have a way of becoming extraordinary products very quickly. There's no telling what you could accomplish at Apple.Do you want to join us to help deliver the next groundbreaking Apple products? The Apple SoC design team is looking for an experienced engineer to develop Apple's compute SoCs power management system. Familiar with advanced design practices (Clock/Voltage domain crossing, DFT and Low Power Design). Experience with scripting and programming experience using several of the following: Perl, C, C++, and TCL. The Apple SoC design team is looking for an experienced engineer to develop Apple's compute SoCs power management system.",information and communication
"About the job Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. Google Assistant is a fast-paced organization leading the way in developing conversational interfaces that transform how things get done. The organization has recently shifted towards an Android-first strategy with the roadmap of making Google Assistant a neutral orchestrator of apps and services. Google Assistant's goal is to be a more capable, voice-forward helper for users to get things done reliably across Android and Google hardware. This strategy rests on Google Assistant's ability to motivate and integrate with Android developers. Our team is part of the Google Assistant Integrations Platform and owns the developer experience. Historically our team has delivered tooling and infrastructure for building 3P actions on the Google Assistant stack (for a variety of Google Assistant Devices including Home and Smart Displays). Lead a workstream of engineers to build tools and libraries that help Android developers integrate apps with the Google Assistant. Google is proud to be an equal opportunity workplace and is an affirmative action employer. See also Google's EEO Policy and EEO is the Law. Minimum qualifications: Bachelor’s degree or equivalent practical experience. 5 years of experience with software development in one or more programming languages, and with data structures/algorithms. 3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture. Preferred qualifications: Master's degree or PhD in Computer Science or related technical field. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. Google Assistant is a fast-paced organization leading the way in developing conversational interfaces that transform how things get done. The organization has recently shifted towards an Android-first strategy with the roadmap of making Google Assistant a neutral orchestrator of apps and services. Our team is part of the Google Assistant Integrations Platform and owns the developer experience. Historically our team has delivered tooling and infrastructure for building 3P actions on the Google Assistant stack (for a variety of Google Assistant Devices including Home and Smart Displays). Lead a workstream of engineers to build tools and libraries that help Android developers integrate apps with the Google Assistant. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.",information and communication
"Today Lonza is a global leader in life sciences. Lonza in Visp is looking for a Materials Requirement Planner. Key responsibilities: Perform all duties to ensure the materials requirements plans are completed to ensure the timely availability of materials to support the product Supply Plan Execution of key material availability, mobilization or write actions to support optimal management of inventory while reducing scrap/waste as well as tracking, reporting and facilitating on-time material availability including testing and release for production Responsible to liaise with all key functions to ensure timely updates to material plans considering changes to plans or material availability issues Perform all routine tasks to convert planned orders into material plans including the creation and management of material planned requirements Liaison with key stakeholders (supply planner, scheduler, and PM) to ensure all material plans are up to date and responsive to changes in material requirements and to develop safety stock and inventory plans to meet production plans Conversion of the material requirements plan (purchase requisitions) into purchase orders and creation/maintenance of detailed material planning parameters in Planning systems Expediting material availability through liaison with procurement and teams involved with inbound material processing Key requirements: Degree in SCM, Procurement or any relevant discipline Experience in SCM, Materials Planning/Scheduling and/or Purchasing Good knowledge of SAP and MS Office (Excel, Powerpoint) Good communication and presentation skils Fluency in German and English is required Strong Team Player and able to work across cross-functional teams Every day, Lonza’s products and services have a positive impact on millions of people. At Lonza, we respect and protect our people and our environment. People come to Lonza for the challenge and creativity of solving complex problems and developing new ideas in life sciences. Today Lonza is a global leader in life sciences. We are more than 15,000 employees in more than 100 locations around the world. Our greatest scientific solution is talented people working together, devising ideas that help businesses to help people. In exchange, we let our people own their careers. And that’s the kind of work we want to be part of. Lonza in Visp is looking for a Materials Requirement Planner. Key responsibilities: Perform all duties to ensure the materials requirements plans are completed to ensure the timely availability of materials to support the product Supply Plan Execution of key material availability, mobilization or write actions to support optimal management of inventory while reducing scrap/waste as well as tracking, reporting and facilitating on-time material availability including testing and release for production Responsible to liaise with all key functions to ensure timely updates to material plans considering changes to plans or material availability issues Perform all routine tasks to convert planned orders into material plans including the creation and management of material planned requirements Liaison with key stakeholders (supply planner, scheduler, and PM) to ensure all material plans are up to date and responsive to changes in material requirements and to develop safety stock and inventory plans to meet production plans Conversion of the material requirements plan (purchase requisitions) into purchase orders and creation/maintenance of detailed material planning parameters in Planning systems Expediting material availability through liaison with procurement and teams involved with inbound material processing Key requirements: Degree in SCM, Procurement or any relevant discipline Experience in SCM, Materials Planning/Scheduling and/or Purchasing Good knowledge of SAP and MS Office (Excel, Powerpoint) Good communication and presentation skils Fluency in German and English is required Strong Team Player and able to work across cross-functional teams Every day, Lonza’s products and services have a positive impact on millions of people. At Lonza, we respect and protect our people and our environment. Any success we achieve is no success at all if not achieved ethically.",pharmaceutical and life sciences
